Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Chopin_Ballades_4_Levitsky18M.wav,30-300,46.211,0.467,0.349,0.704,0.471,0.352,0.710,"-30, -40, -50",0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_22-2_KOLESO04M.wav,30-300,117.623,0.585,0.501,0.704,0.601,0.515,0.724,40,0.016
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-1_no_repeat_Richardson02M.wav,30-300,162.204,0.642,0.942,0.487,0.642,0.942,0.487,"-10, 0, 10, 20",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-1_no_repeat_KabuliL02M.wav,30-300,155.158,0.654,0.938,0.502,0.654,0.938,0.502,0,0.000
ASAP,RDB_SPPK,Chopin_Ballades_3_Ko11M.wav,30-300,69.294,0.514,0.419,0.665,0.518,0.422,0.669,"10, 20",0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Mizumoto03M.wav,30-300,267.169,0.806,0.995,0.677,0.810,1.000,0.681,"-40, -50, -60",0.004
ASAP,RDB_SPPK,Chopin_Etudes_op_25_1_TuanS04M.wav,30-300,83.595,0.771,0.881,0.686,0.771,0.881,0.686,"-10, 0, 10",0.000
ASAP,RDB_SPPK,Scriabin_Sonatas_5_FaB05M.wav,30-300,85.850,0.495,0.498,0.493,0.504,0.507,0.500,40,0.008
ASAP,RDB_SPPK,Chopin_Etudes_op_10_4_ZhaoA03M.wav,30-300,162.942,0.874,0.953,0.807,0.880,0.960,0.813,20,0.007
ASAP,RDB_SPPK,Chopin_Etudes_op_10_8_Zhou03M.wav,30-300,174.296,0.694,0.895,0.566,0.707,0.912,0.577,"-330, -370",0.013
ASAP,RDB_SPPK,Bach_Prelude_bwv_864_SunD01M.wav,30-300,91.348,0.667,0.500,1.000,0.667,0.500,1.000,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Chopin_Barcarolle_Ozel10M.wav,30-300,55.857,0.486,0.364,0.734,0.489,0.366,0.739,-10,0.003
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_LiuY03M.wav,30-300,64.964,0.373,0.275,0.581,0.384,0.283,0.599,-30,0.011
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Denisova06M.wav,30-300,282.611,0.747,0.989,0.600,0.755,1.000,0.606,"-50, 40",0.008
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_4_no_repeat_LuoJ09M.wav,30-300,139.872,0.798,0.897,0.719,0.805,0.905,0.725,-50,0.007
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_2_KaiRuiR05M.wav,30-300,177.500,0.740,0.984,0.593,0.745,0.990,0.597,30,0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_11-1_LiYZ03M.wav,30-300,142.278,0.891,0.940,0.846,0.891,0.940,0.846,"-10, -20, 0, 10, 20",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_2_Levitsky09M.wav,30-300,192.892,0.534,0.997,0.364,0.534,0.997,0.364,"-10, -20, -30, -40, -50, 0, 10, 20",0.000
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_664-3_KabuliL12M.wav,30-300,85.066,0.557,0.448,0.734,0.560,0.451,0.738,"-50, 30, 40",0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-3_KimSY04M.wav,30-300,112.696,0.678,0.755,0.615,0.683,0.760,0.619,-40,0.005
ASAP,RDB_SPPK,Mozart_Piano_Sonatas_12-3_MunA05M.wav,30-300,102.235,0.535,0.457,0.645,0.538,0.460,0.649,20,0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_857_ToA01M.wav,30-300,40.808,0.434,0.287,0.894,0.440,0.291,0.906,"-10, -20, -30, -40, -50, -60",0.006
ASAP,RDB_SPPK,Chopin_Etudes_op_10_2_Hebert03M.wav,30-300,170.927,0.974,0.989,0.959,0.974,0.989,0.959,"-10, -20, -30, -40, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-3_USHIKI05M.wav,30-300,277.411,0.505,0.863,0.357,0.560,0.956,0.396,-60,0.055
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_5_Min03M.wav,30-300,76.551,0.474,0.372,0.652,0.479,0.377,0.659,"10, 20, 30",0.006
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Shychko03M.wav,30-300,114.453,0.801,0.922,0.709,0.810,0.932,0.717,"10, 20",0.009
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-1_no_repeat_GuoE02M.wav,30-300,146.870,0.654,0.948,0.499,0.657,0.952,0.502,10,0.003
ASAP,RDB_SPPK,Bach_Fugue_bwv_874_WongWY01M.wav,30-300,30.576,0.398,0.249,0.990,0.398,0.249,0.990,"-10, -20, -30, -40, -50, -60, 0, 10, 20",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_854_WangA01M.wav,30-300,71.720,0.398,0.320,0.527,0.415,0.333,0.548,"-300, -310, -320, 550",0.016
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_MunA07M.wav,30-300,183.398,0.576,0.893,0.425,0.602,0.933,0.444,"20, 30, 40",0.026
ASAP,RDB_SPPK,Chopin_Sonata_3_4th_GarritsonL11M.wav,30-300,135.541,0.623,0.890,0.480,0.626,0.893,0.482,"-10, -20, -30",0.002
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Richardson_2015_03M.wav,30-300,105.317,0.834,0.926,0.759,0.848,0.942,0.772,30,0.014
ASAP,RDB_SPPK,Bach_Fugue_bwv_857_YuP01M.wav,30-300,64.284,0.661,0.499,0.978,0.664,0.501,0.982,"-10, -20, -30",0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_880_LeungR01M.wav,30-300,63.467,0.660,0.493,0.995,0.663,0.495,1.000,"10, 20",0.003
ASAP,RDB_SPPK,Chopin_Barcarolle_Na09M.wav,30-300,57.252,0.469,0.362,0.665,0.472,0.365,0.670,10,0.003
ASAP,RDB_SPPK,Bach_Fugue_bwv_868_GonzalezJ05M.wav,30-300,65.755,0.665,0.500,0.992,0.670,0.504,1.000,30,0.005
ASAP,RDB_SPPK,Liszt_Sonata_Gasanov06M.wav,30-300,94.575,0.643,0.654,0.632,0.647,0.658,0.636,-10,0.004
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_LuM01M.wav,30-300,92.720,0.780,0.648,0.978,0.783,0.651,0.982,10,0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_874_WongWY01M.wav,30-300,80.595,0.534,0.375,0.924,0.534,0.375,0.924,"-10, -20, -30, 0",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_18-1_ZhangH05M.wav,30-300,129.163,0.751,0.794,0.712,0.760,0.804,0.721,-50,0.010
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-3_4_Zuber04M.wav,30-300,49.223,0.483,0.358,0.741,0.504,0.374,0.773,-50,0.021
ASAP,RDB_SPPK,Bach_Prelude_bwv_875_CaoJ01M.wav,30-300,126.392,0.805,0.688,0.972,0.805,0.688,0.972,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_863_TongB01M.wav,30-300,37.592,0.410,0.269,0.860,0.410,0.269,0.860,"-10, -20, 0, 10, 20",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Song02M.wav,30-300,103.894,0.885,0.938,0.837,0.893,0.947,0.845,20,0.008
ASAP,RDB_SPPK,Bach_Fugue_bwv_875_Ahfat01M.wav,30-300,50.683,0.405,0.256,0.972,0.405,0.256,0.972,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_1_Duepree08M.wav,30-300,93.244,0.724,0.740,0.708,0.724,0.740,0.708,"-10, -20, -30, -40, 0, 10",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op142_1_Ozaki07M.wav,30-300,111.415,0.713,0.673,0.758,0.715,0.675,0.760,"-10, -20, -30, -40",0.002
ASAP,RDB_SPPK,Bach_Fugue_bwv_875_CaoJ01M.wav,30-300,55.044,0.529,0.382,0.860,0.580,0.419,0.944,"530, 540",0.052
ASAP,RDB_SPPK,Chopin_Etudes_op_10_4_Duepree06M.wav,30-300,161.337,0.885,0.971,0.813,0.891,0.978,0.819,"10, 20, 30",0.007
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_VuV06M.wav,30-300,61.814,0.369,0.267,0.595,0.375,0.272,0.606,40,0.007
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_26-3_HONG05M.wav,30-300,131.775,0.452,0.431,0.477,0.454,0.432,0.478,20,0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_23-1_Duepree05M.wav,30-300,107.192,0.557,0.775,0.435,0.561,0.780,0.438,"-40, -50, 30",0.004
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_48-1_GarritsonL02M.wav,30-300,60.093,0.497,0.518,0.478,0.519,0.541,0.499,"-30, -40, -50",0.022
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_KimSY02M.wav,30-300,145.363,0.686,0.795,0.602,0.686,0.796,0.603,"-20, -40, -50",0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_856_LuoJ01M.wav,30-300,77.750,0.478,0.348,0.764,0.478,0.348,0.764,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_860_Nikiforov05M.wav,30-300,186.299,0.818,0.990,0.697,0.818,0.990,0.697,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Chopin_Barcarolle_Park10M.wav,30-300,51.818,0.447,0.320,0.741,0.449,0.321,0.743,"10, 20, 30",0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_SunY01M.wav,30-300,294.073,0.704,0.972,0.552,0.724,1.000,0.568,"30, 40",0.021
ASAP,RDB_SPPK,Chopin_Etudes_op_25_10_Guo02M.wav,30-300,99.528,0.585,0.597,0.573,0.587,0.599,0.575,-60,0.003
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_24-1_Lisiecki05M.wav,30-300,113.625,0.792,0.920,0.695,0.795,0.923,0.697,10,0.003
ASAP,RDB_SPPK,Bach_Fugue_bwv_865_ZhangE01M.wav,30-300,85.616,0.663,0.501,0.980,0.663,0.501,0.980,"-10, -20, 0, 10",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_880_LeungR01M.wav,30-300,124.917,0.585,0.469,0.776,0.585,0.469,0.776,"-10, -20, -30, -40, -50, 0, 10",0.000
ASAP,RDB_SPPK,Schubert_Impromptu_op142_3_RichardsonC06M.wav,30-300,38.097,0.386,0.259,0.761,0.387,0.259,0.763,"-30, -40",0.001
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_Lin04M.wav,30-300,109.415,0.788,0.656,0.986,0.788,0.656,0.986,"-10, -20, -30, 0",0.000
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_6_Theme_and_Variations_repeat_KanM09M.wav,30-300,79.235,0.651,0.574,0.752,0.651,0.574,0.752,"-10, 0, 10",0.000
ASAP,RDB_SPPK,Chopin_Berceuse_op_57_Tario07M.wav,30-300,33.215,0.445,0.324,0.712,0.449,0.327,0.719,-10,0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_27-1_Ko05M.wav,30-300,143.650,0.771,0.917,0.665,0.773,0.919,0.666,"-10, -20, -30, -40, -50",0.002
ASAP,RDB_SPPK,Chopin_Ballades_1_Mo07M.wav,30-300,66.929,0.499,0.423,0.609,0.507,0.429,0.619,20,0.008
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_MiyashitaM01M.wav,30-300,96.289,0.682,0.519,0.995,0.682,0.519,0.995,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Schubert_Moment_musical_no_3_Tetzloff09M.wav,30-300,90.030,0.833,0.751,0.935,0.833,0.751,0.935,"-10, -20, -30, -40, -50, -60, 0",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_885_JeonH01M.wav,30-300,28.948,0.464,0.327,0.798,0.464,0.327,0.798,"-10, -20, -30, -40, 0, 10, 20",0.000
ASAP,RDB_SPPK,Chopin_Polonaises_53_YeF11M.wav,30-300,71.228,0.639,0.510,0.854,0.639,0.510,0.854,0,0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_854_MiyashitaM01M.wav,30-300,101.583,0.696,0.540,0.982,0.696,0.540,0.982,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40, 50",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_22-1_KOLESO04M.wav,30-300,87.144,0.598,0.494,0.758,0.598,0.494,0.758,"-10, -20, 0",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_873_Lisiecki13M.wav,30-300,43.736,0.500,0.338,0.962,0.503,0.340,0.967,"-20, -30, -40, -50, -60",0.003
ASAP,RDB_SPPK,Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M.wav,30-300,52.952,0.413,0.344,0.517,0.420,0.350,0.525,"10, 20",0.007
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-1_Zuber04M.wav,30-300,51.196,0.450,0.331,0.705,0.469,0.344,0.734,"-40, -50",0.018
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_4_no_repeat_WongWY08M.wav,30-300,135.044,0.714,0.865,0.608,0.714,0.865,0.608,0,0.000
